data,torneo,home,away,elo_h,elo_a
8/4/25,uk - championship,stoke city,Luton,2027.38,1992.19
8/4/25,brasile - serie b,cuiaba,avai,1848.6,1750.21
12/4/25,cile - primera b,san luis de quillota,union san felipe,1495.01,1412.31
12/4/25,indonesia - liga 1,persija jakarta,persebaya surabaya,1749.18,1693.11
12/4/25,polonia - ekstraklasa,gks katowice,puszcza niepolomice,1911.46,1770.37
12/4/25,italia - serie b,carrarese,catanzaro,1847.82,1795.97
12/4/25,italia - serie b,salernitana,sudtirol,1892.95,1785.73
12/4/25,svezia - allsvenkan,bk hacken,mjallby aif,2140.06,2096.83
12/4/25,uk - championship,portsmouth,derby,1990.13,1959.57
12/4/25,uk - league one,bristol rovers,exeter,1827.46,1762.37
13/4/25,usa - mls,new york city fc,philadelphia union,1874.04,1800.87
13/4/25,Italia - serie a,atalanta,Bologna,2391.14,2311.52
13/4/25,honduras - lega nazionale,cd real sociedad,genesis de comayagua,1536.78,1520.68
13/4/25,danimarca - superligaen,sonderiyske,vejle,1909.92,1889.86
16/4/25,danimarca - 1 divisione,hobro ik,vendsyssel ff,1821.22,1729.04
18/4/25,brasile - serie a,cruzeiro,bahia,1960.42,1904.1
19/4/25,argentina - liga profesional,union santa fe,newell's,1843.25,1740.68
19/4/25,romania - liga II,fc arges pitesti,fk csikszereda miercurea ciuc,1825.03,1759.94
19/4/25,armenia - premier league,pyunik yerevan,fc urartu,1824.24,1746.89
19/4/25,uk - premier league,brentford,brighton,2318.25,2308.12
19/4/25,spagna - segunda liga,huesca,racing santander,1927.05,1871.37
19/4/25,Slovacchia - super liga,MFK skalica,MFK ruzomberok,1821.61,1749.84
19/4/25,lituania - a lyga,suduva marijampole,fa siauliai,1698.26,1661.01
19/4/25,slovenia - prva liga,koper,nk bravo,1865.52,1785.47
19/4/25,Cile - liga de primera,huachipato,cobresal,1563.42,1479.71
19/4/25,argentina - liga profesional,huracan,defensa y justicia,1871.8,1700.55
20/4/25,messico - segunda division,artesanos metepec fc,club canonero marina,1595.03,1531.8
20/4/25,germania - bundesliga II,karlsruher sc,greuther furth,2013.37,1963.4
20/4/25,azerbaigian - premier league,shamakhi fk,fk kapaz,1725.46,1661.89
20/4/25,uzbekistan - pfl,andijon fk,samarqand,1647.98,1550.76
20/4/25,svezia - superettan,trelleborgs ff,ik brage,1856.34,1788.69
20/4/25,Slovacchia - super liga,dukla banska bystrica,KFC komarno,1730.44,1643.44
20/4/25,Marocco - gnf 2,youssoufia berrechid,chabab Atlas khenifra,1553.85,1478.23
20/4/25,brasile - serie a,atletico mineiro,botafogo,1996.54,1863.43
21/4/25,brasile - serie b,america mg,goias,1866.79,1759.92
